Frequencia_Hz,Z_Real,Z_Imaginario,Fase_Graus,Magnitude_Ohm
10816.036303107094,1309.0876166695639,-462.11736809071857,-19.443399146399972,1388.2589275811238
10916.317341936148,1305.1599035361974,-460.4751207285538,-19.43341583813366,1384.0085659448036
11017.528137883874,1301.2603386851893,-458.805565594484,-19.42191289046223,1379.775712228465
11119.677311206979,1297.389277672739,-457.10928146125576,-19.40889452979825,1375.5609157788022
11222.77356208507,1293.5470612378554,-455.38685101402973,-19.394365533384054,1371.3647157899193
11326.825671361537,1289.7340153083796,-453.6388604183545,-19.378331225331713,1367.1876410811865
11431.842501291503,1285.9504510209963,-451.8658988924535,-19.360797472217367,1363.030209886409
11537.83299629662,1282.1966647549161,-450.06855828431026,-19.341770678236223,1358.8929296544113
11644.806183726854,1278.4729381788984,-448.2474326540085,-19.321257779924863,1354.7762968611075
11752.771174629452,1274.7795383112516,-446.4031178617673,-19.299266240458337,1350.6807968331211
11861.737164524791,1271.1167175924595,-444.5362111620942,-19.27580404353,1346.606903582994
11971.713434189656,1267.4847139700437,-442.6473108044456,-19.250879686822437,1342.5550796560008
12082.70935044776,1263.883750995271,-440.737015640775,-19.224502175078683,1338.5257759885733
12194.734366967383,1260.3140379313213,-438.80592474032517,-19.196681012783298,1334.5194317783325
12307.798025066659,1256.7757698724847,-436.85463701198995,-19.16742619646324,1330.5364743656803
12421.909954526187,1253.269127873985,-434.88375083456054,-19.136748206619256,1326.5773191269159
12537.079874409197,1249.7942790919997,-432.89386369514153,-19.10465799929873,1322.6423693788124
12653.31759388943,1246.3513769334422,-430.88557183600295,-19.071166997321452,1318.7320162945643
12770.633013086446,1242.940561215086,-428.8594699101153,-19.036287081170286,1314.8466388310305
12889.036123908916,1239.5619583315718,-426.8161506455842,-19.000030579558935,1310.9866036671447
13008.537010905706,1236.2156814318678,-424.75620451918786,-18.96241025968952,1307.1522651533764
13129.145852124653,1232.9018306037494,-422.68021943920184,-18.923439317213024,1303.3439652721183
13250.872919979538,1229.6204930658355,-420.58878043765986,-18.88313136590585,1299.5620336088257
13373.728582124977,1226.3717433667562,-418.4824693721968,-18.84150042707627,1295.806787333771
13497.723302339418,1223.1556435910045,-416.3618646375878,-18.798560918714543,1292.0785311942202
13622.867641416467,1219.9722435710325,-414.22754088708166,-18.754327644401002,1288.3775575168554
13749.172258064205,1216.8215811051653,-412.08006876361,-18.708815781986416,1284.7041462202478
13876.647909813071,1213.703682180891,-409.9200146409294,-18.66204087205931,1281.0585648371712
14005.305453932197,1210.618561203106,-407.74794037473634,-18.61401880621476,1277.441068546537
14135.155848353957,1207.5662212269012,-405.56440306378755,-18.56476581513995,1273.8519002147398
14266.210152607355,1204.5466541944638,-403.36995482102304,-18.514298456531137,1270.2912904461684
14398.479528760066,1201.5598411756914,-401.16514255468593,-18.46263360285723,1266.7594576426395
14531.975242368953,1198.6057526121288,-398.95050775941957,-18.409788428985284,1263.2566080715296
14666.708663439686,1195.684348563816,-396.726586317291,-18.355780399682843,1259.7829359423188
14802.691267395101,1192.795578958683,-394.4939083086953,-18.300627257012525,1256.338623491314
14939.934636052561,1189.9393838441065,-392.25299783306644,-18.244347007633884,1252.9238410742767
15078.45045861051,1187.1156936402622,-390.00437283931285,-18.186957910027672,1249.538747266681
15218.250532643871,1184.3244293949322,-387.74854496588995,-18.128478461657707,1246.1834889713457
15359.346765108954,1181.5655030394007,-385.4860193903926,-18.068927386085026,1242.8582015331444
15501.751173357688,1178.8388176451206,-383.21729468855636,-18.008323620049268,1239.5630088605265
15645.475886160959,1176.144267680821,-380.9428627025428,-17.946686300532093,1236.2980235535697
15790.533144741757,1173.4817392697419,-378.66320841836114,-17.88403475181678,1233.0633470382718
15936.935303817761,1170.8511104466934,-376.3788098522886,-17.820388472558662,1229.8590697068018
16084.694832653551,1168.2522514146542,-374.0901379461296,-17.755767122880208,1226.6852710634307
16233.824316122782,1165.6850248006199,-371.79765647114823,-17.69019051150467,1223.5420198758436
16384.33645577985,1163.149285910448,-369.5018219405134,-17.62367858294201,1220.4293743315684
16536.244070941786,1160.644882982426,-367.20308353006607,-17.55625140474011,1217.3473821992136
16689.560099780232,1158.1716574393288,-364.9018830072331,-17.487929154814367,1214.2960809942467
16844.297600423153,1155.7294441387319,-362.5986546679033,-17.418732108868586,1211.2754981490361
17000.46975206718,1153.3180716213503,-360.29382528106254,-17.348680627919034,1208.2856511868586
17158.089856100065,1150.9373623572012,-357.9878140409979,-17.27779514593401,1205.3265478996152
17317.17133723353,1148.5871329893841,-355.6810325268683,-17.20609615760038,1202.3981865289686
17477.727744646807,1146.267194575294,-353.37388466943486,-17.133604206228267,1199.500555950635
17639.772753140453,1143.9773528250914,-351.06676672475066,-17.060339871804892,1196.6336358615674
17803.32016430112,1141.7174083372583,-348.76006725459416,-16.98632375920782,1193.79739696976
17968.38390767719,1139.4871568310857,-346.4541671134378,-16.911576486587585,1190.9918011864136
18134.978041964954,1137.2863893759543,-344.14943944174627,-16.836118673929537,1188.2168018202162
18303.11675620613,1135.1148926172618,-341.8462496653835,-16.75997093180376,1185.472343773479
