frequencia,Z_real,Z_imag,fase
42000,1297.4311622348341,-33.7478319595081,-1.49
42200,1297.4311622348341,-33.7478319595081,-1.49
42400,1297.4311622348341,-33.7478319595081,-1.49
42600,1297.4311622348341,-33.7478319595081,-1.49
42800,1297.4311622348341,-33.7478319595081,-1.49
43000,1297.4311622348341,-33.7478319595081,-1.49
43200,1297.4311622348341,-33.7478319595081,-1.49
43400,1297.4311622348341,-33.7478319595081,-1.49
43600,1297.4311622348341,-33.7478319595081,-1.49
43800,1297.4311622348341,-33.7478319595081,-1.49
44000,1297.4311622348341,-33.7478319595081,-1.49
44200,1369.3999560304615,7.409239081752316,0.31
44400,1322.423345621908,75.55574997417052,3.27
44600,1322.423345621908,75.55574997417052,3.27
44800,1223.7416500642314,8.329873832917905,0.39
45000,1223.7416500642314,8.329873832917905,0.39
45200,1223.7416500642314,8.329873832917905,0.39
45400,1293.8292110934617,-94.55882254591731,-4.18
45600,1322.423345621908,75.55574997417052,3.27
45800,1293.8292110934617,-94.55882254591731,-4.18
46000,1293.8292110934617,-94.55882254591731,-4.18
46200,1293.8292110934617,-94.55882254591731,-4.18
46400,1293.8292110934617,-94.55882254591731,-4.18
46600,1293.8292110934617,-94.55882254591731,-4.18
46800,1293.8292110934617,-94.55882254591731,-4.18
47000,1293.8292110934617,-94.55882254591731,-4.18
47200,1293.8292110934617,-94.55882254591731,-4.18
47400,1293.8292110934617,-94.55882254591731,-4.18
47600,1293.8292110934617,-94.55882254591731,-4.18
47800,1293.8292110934617,-94.55882254591731,-4.18
48000,1293.8292110934617,-94.55882254591731,-4.18
48200,1293.8292110934617,-94.55882254591731,-4.18
48400,1293.8292110934617,-94.55882254591731,-4.18
48600,1293.8292110934617,-94.55882254591731,-4.18
48800,1293.8292110934617,-94.55882254591731,-4.18
49000,1293.8292110934617,-94.55882254591731,-4.18
49200,1293.8292110934617,-94.55882254591731,-4.18
49400,1293.8292110934617,-94.55882254591731,-4.18
49600,1293.8292110934617,-94.55882254591731,-4.18
49800,1254.7166406406102,-33.73248581918952,-1.54
50000,1316.2402116218204,13.554387103267459,0.59
50200,1316.2402116218204,13.554387103267459,0.59
50400,1316.2402116218204,13.554387103267459,0.59
50600,1316.2402116218204,13.554387103267459,0.59
50800,1316.2402116218204,13.554387103267459,0.59
51000,1316.2402116218204,13.554387103267459,0.59
51200,1316.2402116218204,13.554387103267459,0.59
51400,1316.2402116218204,13.554387103267459,0.59
51600,1316.2402116218204,13.554387103267459,0.59
51800,1316.2402116218204,13.554387103267459,0.59
52000,1316.2402116218204,13.554387103267459,0.59
52200,1316.2402116218204,13.554387103267459,0.59
52400,1316.2402116218204,13.554387103267459,0.59
52600,1316.2402116218204,13.554387103267459,0.59
52800,1316.2402116218204,13.554387103267459,0.59
53000,1316.2402116218204,13.554387103267459,0.59
53200,1217.349611975347,-66.78169377510922,-3.14
53400,1217.349611975347,-66.78169377510922,-3.14
53600,1217.349611975347,-66.78169377510922,-3.14
53800,1217.349611975347,-66.78169377510922,-3.14
54000,1217.349611975347,-66.78169377510922,-3.14
54200,1217.349611975347,-66.78169377510922,-3.14
54400,1217.349611975347,-66.78169377510922,-3.14
54600,1217.349611975347,-66.78169377510922,-3.14
54800,1217.349611975347,-66.78169377510922,-3.14
55000,1217.349611975347,-66.78169377510922,-3.14
55200,1217.349611975347,-66.78169377510922,-3.14
55400,1281.3788197263063,-16.103128789718696,-0.72
55600,1281.3788197263063,-16.103128789718696,-0.72
55800,1227.8716587474964,40.51815944328427,1.89
56000,1227.8716587474964,40.51815944328427,1.89
56200,1227.8716587474964,40.51815944328427,1.89
56400,1227.8716587474964,40.51815944328427,1.89
56600,1227.8716587474964,40.51815944328427,1.89
56800,1227.8716587474964,40.51815944328427,1.89
57000,1227.8716587474964,40.51815944328427,1.89
57200,1227.8716587474964,40.51815944328427,1.89
57400,1227.8716587474964,40.51815944328427,1.89
57600,1227.8716587474964,40.51815944328427,1.89
57800,1322.1104590292744,-56.79985057552118,-2.46
58000,1322.1104590292744,-56.79985057552118,-2.46
58200,1322.1104590292744,-56.79985057552118,-2.46
58400,1322.1104590292744,-56.79985057552118,-2.46
58600,1322.1104590292744,-56.79985057552118,-2.46
58800,1322.1104590292744,-56.79985057552118,-2.46
59000,1322.1104590292744,-56.79985057552118,-2.46
59200,1322.1104590292744,-56.79985057552118,-2.46
59400,1322.1104590292744,-56.79985057552118,-2.46
